Rank,ID,start datetime,end datetime,Data file
48,644,2006/09/22 10:35,2006/09/22 15:30,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\48_644_Birmingham_EA-RG_200609221035-200609221530.csv
49,1550,2010/08/13 08:10,2010/08/14 16:30,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\49_1550_Birmingham_EA-RG_201008130810-201008141630.csv
50,1732,2011/05/26 07:35,2011/05/26 14:50,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\50_1732_Birmingham_EA-RG_201105260735-201105261450.csv
51,1880,2012/01/03 01:20,2012/01/03 14:25,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\51_1880_Birmingham_EA-RG_201201030120-201201031425.csv
52,1103,2008/09/01 09:30,2008/09/03 02:55,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\52_1103_Birmingham_EA-RG_200809010930-200809030255.csv
53,931,2007/12/08 07:25,2007/12/08 20:35,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\53_931_Birmingham_EA-RG_200712080725-200712082035.csv
54,2496,2014/08/29 10:35,2014/08/30 03:15,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\54_2496_Birmingham_EA-RG_201408291035-201408300315.csv
55,2370,2014/02/06 12:30,2014/02/07 08:10,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\55_2370_Birmingham_EA-RG_201402061230-201402070810.csv
56,3190,2017/07/11 04:05,2017/07/12 00:15,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\56_3190_Birmingham_EA-RG_201707110405-201707120015.csv
57,2790,2015/12/02 18:45,2015/12/03 05:35,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\57_2790_Birmingham_EA-RG_201512021845-201512030535.csv
58,1921,2012/03/04 04:30,2012/03/04 17:35,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\58_1921_Birmingham_EA-RG_201203040430-201203041735.csv
59,2753,2015/10/05 03:45,2015/10/06 18:20,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\59_2753_Birmingham_EA-RG_201510050345-201510061820.csv
60,2984,2016/09/16 07:00,2016/09/16 09:20,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\60_2984_Birmingham_EA-RG_201609160700-201609160920.csv
61,2994,2016/10/01 07:55,2016/10/01 21:10,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\61_2994_Birmingham_EA-RG_201610010755-201610012110.csv
62,2025,2012/08/24 14:00,2012/08/25 02:00,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\62_2025_Birmingham_EA-RG_201208241400-201208250200.csv
63,1280,2009/06/05 13:00,2009/06/07 15:30,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\63_1280_Birmingham_EA-RG_200906051300-200906071530.csv
64,1067,2008/07/04 23:00,2008/07/07 21:35,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\64_1067_Birmingham_EA-RG_200807042300-200807072135.csv
65,809,2007/05/30 06:40,2007/05/30 15:55,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\65_809_Birmingham_EA-RG_200705300640-200705301555.csv
66,376,2005/07/04 03:40,2005/07/04 20:55,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\66_376_Birmingham_EA-RG_200507040340-200507042055.csv
67,1252,2009/04/27 03:55,2009/04/28 01:35,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\67_1252_Birmingham_EA-RG_200904270355-200904280135.csv
68,1078,2008/07/29 10:25,2008/07/29 18:30,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\68_1078_Birmingham_EA-RG_200807291025-200807291830.csv
69,1510,2010/06/07 18:55,2010/06/09 08:35,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\69_1510_Birmingham_EA-RG_201006071855-201006090835.csv
70,2022,2012/08/21 16:10,2012/08/21 17:40,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\70_2022_Birmingham_EA-RG_201208211610-201208211740.csv
71,2739,2015/08/31 01:15,2015/09/02 00:05,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\71_2739_Birmingham_EA-RG_201508310115-201509020005.csv
72,2889,2016/04/13 20:35,2016/04/15 00:00,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\72_2889_Birmingham_EA-RG_201604132035-201604150000.csv
73,2868,2016/03/09 00:05,2016/03/09 15:25,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\73_2868_Birmingham_EA-RG_201603090005-201603091525.csv
74,1267,2009/05/14 20:30,2009/05/16 21:40,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\74_1267_Birmingham_EA-RG_200905142030-200905162140.csv
75,1556,2010/08/22 22:45,2010/08/23 16:45,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\75_1556_Birmingham_EA-RG_201008222245-201008231645.csv
76,795,2007/05/08 07:55,2007/05/08 09:25,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\76_795_Birmingham_EA-RG_200705080755-200705080925.csv
77,833,2007/07/09 09:30,2007/07/10 00:40,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\77_833_Birmingham_EA-RG_200707090930-200707100040.csv
78,1144,2008/11/01 16:25,2008/11/02 21:15,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\78_1144_Birmingham_EA-RG_200811011625-200811022115.csv
79,826,2007/06/30 01:35,2007/07/01 13:10,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\79_826_Birmingham_EA-RG_200706300135-200707011310.csv
80,696,2006/11/24 08:10,2006/11/25 10:35,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\80_696_Birmingham_EA-RG_200611240810-200611251035.csv
81,646,2006/09/24 07:05,2006/09/24 08:30,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\81_646_Birmingham_EA-RG_200609240705-200609240830.csv
82,2846,2016/02/05 20:00,2016/02/08 17:00,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\82_2846_Birmingham_EA-RG_201602052000-201602081700.csv
83,1996,2012/07/16 03:55,2012/07/16 19:25,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\83_1996_Birmingham_EA-RG_201207160355-201207161925.csv
84,2449,2014/06/02 19:00,2014/06/03 05:05,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\84_2449_Birmingham_EA-RG_201406021900-201406030505.csv
85,2155,2013/02/05 08:50,2013/02/06 08:00,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\85_2155_Birmingham_EA-RG_201302050850-201302060800.csv
86,2699,2015/07/05 13:00,2015/07/05 18:45,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\86_2699_Birmingham_EA-RG_201507051300-201507051845.csv
87,573,2006/05/21 02:40,2006/05/22 21:10,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\87_573_Birmingham_EA-RG_200605210240-200605222110.csv
88,2043,2012/09/23 11:35,2012/09/24 12:45,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\88_2043_Birmingham_EA-RG_201209231135-201209241245.csv
89,2698,2015/07/03 23:30,2015/07/04 01:35,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\89_2698_Birmingham_EA-RG_201507032330-201507040135.csv
90,2095,2012/11/19 13:50,2012/11/22 04:20,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\90_2095_Birmingham_EA-RG_201211191350-201211220420.csv
91,1109,2008/09/12 08:50,2008/09/12 21:40,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\91_1109_Birmingham_EA-RG_200809120850-200809122140.csv
92,1120,2008/10/04 09:15,2008/10/05 11:25,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\92_1120_Birmingham_EA-RG_200810040915-200810051125.csv
93,2445,2014/05/23 10:35,2014/05/24 18:20,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\93_2445_Birmingham_EA-RG_201405231035-201405241820.csv
94,3030,2016/11/21 02:30,2016/11/22 09:45,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\94_3030_Birmingham_EA-RG_201611210230-201611220945.csv
95,1986,2012/07/06 03:35,2012/07/06 17:20,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\95_1986_Birmingham_EA-RG_201207060335-201207061720.csv
96,424,2005/10/12 09:30,2005/10/13 01:40,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\96_424_Birmingham_EA-RG_200510120930-200510130140.csv
97,2241,2013/08/02 06:05,2013/08/03 03:05,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\97_2241_Birmingham_EA-RG_201308020605-201308030305.csv
98,892,2007/10/28 07:40,2007/10/28 13:10,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\98_892_Birmingham_EA-RG_200710280740-200710281310.csv
99,869,2007/09/21 14:35,2007/09/22 12:45,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\99_869_Birmingham_EA-RG_200709211435-200709221245.csv
100,377,2005/07/05 04:25,2005/07/06 05:15,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\100_377_Birmingham_EA-RG_200507050425-200507060515.csv
101,712,2006/12/11 02:05,2006/12/11 10:15,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\101_712_Birmingham_EA-RG_200612110205-200612111015.csv
102,1342,2009/09/02 03:00,2009/09/03 04:15,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\102_1342_Birmingham_EA-RG_200909020300-200909030415.csv
103,2281,2013/10/11 02:25,2013/10/14 17:45,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\103_2281_Birmingham_EA-RG_201310110225-201310141745.csv
104,2378,2014/02/14 09:00,2014/02/15 17:55,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\104_2378_Birmingham_EA-RG_201402140900-201402151755.csv
105,3028,2016/11/19 21:00,2016/11/20 08:05,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\105_3028_Birmingham_EA-RG_201611192100-201611200805.csv
106,958,2008/01/13 18:30,2008/01/16 04:45,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\106_958_Birmingham_EA-RG_200801131830-200801160445.csv
